Date,PDO
198801,0.28
198802,0.49
198803,0.52
198804,0.34
198805,0.26
198806,0.11
198807,-0.27
198808,-0.91
198809,-1.01
198810,-0.45
198811,-0.14
198812,-0.15
198901,-1.26
198902,-1.43
198903,-1.25
198904,-0.32
198905,-0.17
198906,0.03
198907,0.47
198908,-0.58
198909,-0.65
198910,-0.57
198911,-0.78
198912,-0.11
199001,-0.39
199002,-1.24
199003,-1.24
199004,-0.2
199005,-0.42
199006,-0.32
199007,-0.35
199008,-0.45
199009,-0.32
199010,-1.19
199011,-1.93
199012,-2.23
199101,-1.72
199102,-1.09
199103,-1.16
199104,-1.63
199105,-1.7
199106,-2.36
199107,-1.59
199108,-0.65
199109,0.22
199110,0.24
199111,0.43
199112,-0.19
199201,0.06
199202,0.11
199203,0.08
199204,0.48
199205,1.12
199206,1.14
199207,1.45
199208,0.84
199209,0.4
199210,1.16
199211,1.24
199212,0.31
199301,-0.28
199302,0.05
199303,0.23
199304,0.93
199305,1.66
199306,1.96
199307,1.37
199308,1.79
199309,1.06
199310,1.24
199311,1.02
199312,0.65
199401,0.86
199402,0.4
199403,0.27
199404,0.52
199405,0.46
199406,-0.08
199407,-1.02
199408,-0.98
199409,-1.54
199410,-1.1
199411,-2.04
199412,-2.16
199501,-0.87
199502,0.09
199503,0.36
199504,0.41
199505,0.69
199506,0.85
199507,0.8
199508,-0.35
199509,1.02
199510,0.46
199511,0
199512,0.38
199601,0.94
199602,0.92
199603,0.83
199604,1.33
199605,1.93
199606,0.91
199607,0.48
199608,-0.72
199609,0.03
199610,0.3
199611,0.36
199612,0.01
199701,0.42
199702,0.28
199703,0.41
199704,0.69
199705,1.38
199706,2.33
199707,1.38
199708,2.08
199709,1.6
199710,1.72
199711,1.42
199712,0.97
199801,1.12
199802,1.51
199803,1.33
199804,0.05
199805,-0.8
199806,-0.7
199807,-1.23
199808,-0.83
199809,-1.54
199810,-2.23
199811,-1.04
199812,-1.05
199901,-0.64
199902,-0.94
199903,-1.09
199904,-1.76
199905,-2.2
199906,-2.34
199907,-1.94
199908,-1.84
199909,-2.23
