Year,Count,Area,River,Species
2004,40199,Susitna,Little Susitna,Coho
2005,16839,Susitna,Little Susitna,Coho
2006,8786,Susitna,Little Susitna,Coho
2007,17573,Susitna,Little Susitna,Coho
2008,18485,Susitna,Little Susitna,Coho
2009,9523,Susitna,Little Susitna,Coho
2010,9182,Susitna,Little Susitna,Coho
2011,4826,Susitna,Little Susitna,Coho
2012,6770,Susitna,Little Susitna,Coho
2013,13583,Susitna,Little Susitna,Coho
2014,24211,Susitna,Little Susitna,Coho
2015,12421,Susitna,Little Susitna,Coho
2016,9998,Susitna,Little Susitna,Coho
2017,17781,Susitna,Little Susitna,Coho
2018,7583,Susitna,Little Susitna,Coho
2019,4226,Susitna,Little Susitna,Coho
2020,10765,Susitna,Little Susitna,Coho
2021,10923,Susitna,Little Susitna,Coho
2004,62940,Susitna,Susitna River,Coho
2005,47887,Susitna,Susitna River,Coho
2006,59419,Susitna,Susitna River,Coho
2007,10575,Susitna,Susitna River,Coho
2008,12724,Susitna,Susitna River,Coho
2009,27348,Susitna,Susitna River,Coho
2010,10390,Susitna,Susitna River,Coho
2011,7508,Susitna,Susitna River,Coho
2012,6825,Susitna,Susitna River,Coho
2013,22141,Susitna,Susitna River,Coho
2014,11578,Susitna,Susitna River,Coho
2015,10775,Susitna,Susitna River,Coho
2016,6816,Susitna,Susitna River,Coho
2017,36869,Susitna,Susitna River,Coho
2018,12933,Susitna,Susitna River,Coho
2019,10445,Susitna,Susitna River,Coho
2020,5368,Susitna,Susitna River,Coho
2021,3338,Susitna,Susitna River,Coho
2004,390087,Susitna,Susitna River,Pink
2005,7088,Susitna,Susitna River,Pink
2006,83454,Susitna,Susitna River,Pink
2007,3954,Susitna,Susitna River,Pink
2008,12947,Susitna,Susitna River,Pink
2009,26077,Susitna,Susitna River,Pink
2010,9328,Susitna,Susitna River,Pink
2011,4489,Susitna,Susitna River,Pink
2012,78853,Susitna,Susitna River,Pink
2013,27926,Susitna,Susitna River,Pink
2014,78111,Susitna,Susitna River,Pink
2015,6328,Susitna,Susitna River,Pink
2016,65456,Susitna,Susitna River,Pink
2017,24868,Susitna,Susitna River,Pink
2018,58630,Susitna,Susitna River,Pink
2019,67772,Susitna,Susitna River,Pink
2020,150523,Susitna,Susitna River,Pink
2021,22963,Susitna,Susitna River,Pink
2004,5697,Knick Arm,Jim Creek,Coho
2005,3347,Knick Arm,Jim Creek,Coho
2006,4139,Knick Arm,Jim Creek,Coho
2007,1875,Knick Arm,Jim Creek,Coho
2008,2919,Knick Arm,Jim Creek,Coho
2009,2524,Knick Arm,Jim Creek,Coho
2010,662,Knick Arm,Jim Creek,Coho
2011,490,Knick Arm,Jim Creek,Coho
2012,708,Knick Arm,Jim Creek,Coho
2013,1692,Knick Arm,Jim Creek,Coho
2014,740,Knick Arm,Jim Creek,Coho
2015,945,Knick Arm,Jim Creek,Coho
2016,413,Knick Arm,Jim Creek,Coho
2017,1481,Knick Arm,Jim Creek,Coho
2004,22157,Knick Arm,Fish Creek,Sockeye
2005,14215,Knick Arm,Fish Creek,Sockeye
2006,32526,Knick Arm,Fish Creek,Sockeye
2007,27984,Knick Arm,Fish Creek,Sockeye
2008,19339,Knick Arm,Fish Creek,Sockeye
2009,83480,Knick Arm,Fish Creek,Sockeye
2010,126836,Knick Arm,Fish Creek,Sockeye
2011,66678,Knick Arm,Fish Creek,Sockeye
2012,18823,Knick Arm,Fish Creek,Sockeye
2013,18912,Knick Arm,Fish Creek,Sockeye
2014,43915,Knick Arm,Fish Creek,Sockeye
2015,102367,Knick Arm,Fish Creek,Sockeye
2016,46202,Knick Arm,Fish Creek,Sockeye
2017,61469,Knick Arm,Fish Creek,Sockeye
2018,71556,Knick Arm,Fish Creek,Sockeye
2019,76031,Knick Arm,Fish Creek,Sockeye
