"date","prod"
2003-01-16,NA
2003-02-16,345.864416874711
2003-03-16,472.161862636735
2003-04-16,826.996154350257
2003-05-16,2006.57836850075
2003-06-16,1605.25847188952
2003-07-16,1510.57888960531
2003-08-16,1498.14283889024
2003-09-16,1321.56585259964
2003-10-16,730.307179498762
2003-11-16,NA
2003-12-16,NA
2004-01-16,NA
2004-02-16,283.607136330238
2004-03-16,511.871349273738
2004-04-16,782.271740141369
2004-05-16,2381.26728598511
2004-06-16,1306.95509754201
2004-07-16,1563.29167977555
2004-08-16,1639.60136147948
2004-09-16,1415.2257479027
2004-10-16,810.308446410406
2004-11-16,261.447361537388
2004-12-16,NA
2005-01-16,NA
2005-02-16,314.094675988343
2005-03-16,457.462386200835
2005-04-16,1086.54004001995
2005-05-16,1979.70711731138
2005-06-16,1735.61954044059
2005-07-16,1300.14670642318
2005-08-16,1196.10369656485
2005-09-16,1216.28046305083
2005-10-16,812.02324117572
2005-11-16,357.620269775391
2005-12-16,NA
2006-01-16,NA
2006-02-16,368.182605043213
2006-03-16,430.738428761396
2006-04-16,3212.10711323296
2006-05-16,1864.42164104419
2006-06-16,1398.42300771795
2006-07-16,1419.45925275089
2006-08-16,1538.33711540797
2006-09-16,1358.57955504573
2006-10-16,807.048912479615
2006-11-16,305.625510498718
2006-12-16,NA
2007-01-16,NA
2007-02-16,411.319577827059
2007-03-16,489.245226204857
2007-04-16,857.057692850804
2007-05-16,3421.55730113518
2007-06-16,1361.17298853
2007-07-16,1681.60983412212
2007-08-16,1752.00535415671
2007-09-16,1508.99759007681
2007-10-16,1165.93898182276
2007-11-16,283.678170522054
2007-12-16,NA
2008-01-16,NA
2008-02-16,342.743784443692
2008-03-16,388.704429567777
2008-04-16,2295.22914193115
2008-05-16,2474.22285231608
2008-06-16,1311.48218768201
2008-07-16,1482.78828180505
2008-08-16,1859.09006467659
2008-09-16,1098.24276566939
2008-10-16,717.227587040394
2008-11-16,343.597822899912
2008-12-16,NA
2009-01-16,NA
2009-02-16,363.733481666245
2009-03-16,362.675926016696
2009-04-16,741.093300827496
2009-05-16,2984.90209112773
2009-06-16,1711.16100032057
2009-07-16,2006.99666493765
2009-08-16,1887.17260184557
2009-09-16,1342.1517623036
2009-10-16,1053.95656182134
2009-11-16,NA
2009-12-16,NA
2010-01-16,NA
2010-02-16,425.282104013513
2010-03-16,449.939527204133
2010-04-16,765.58554830967
2010-05-16,1675.27078685433
2010-06-16,1766.28142521718
2010-07-16,1466.19739540695
2010-08-16,1511.34205918996
2010-09-16,1280.34256584769
2010-10-16,805.339826009277
2010-11-16,NA
2010-12-16,NA
2011-01-16,NA
2011-02-16,470.23505202892
2011-03-16,1473.87723438673
2011-04-16,4858.44046497556
2011-05-16,2265.82104534717
2011-06-16,2174.08759162904
2011-07-16,1735.87956383301
2011-08-16,1962.82478444832
2011-09-16,1341.2329222447
2011-10-16,1104.84359323753
2011-11-16,2945.6064453125
