"WhaleNumber","Dual_Left_Right","KnownSex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
5,"Dual","0",2,2,1,2,9,4,2,1,11,1,14,2,6
9,"Dual","0",2,2,2,1,1,2,2,2,2,9,2,2,4
14,"Dual","0",2,1,2,2,1,2,2,1,2,2,1,2,2
25,"Dual","0",2,2,2,2,9,11,2,2,1,2,2,2,2
42,"Dual","0",2,1,1,2,1,24,6,1,1,11,4,1,1
47,"Dual","0",1,1,1,2,2,6,2,1,1,1,1,1,2
49,"Dual","0",2,2,1,2,1,2,6,9,2,4,2,2,2
50,"Dual","0",14,1,1,6,1,2,9,34,2,4,9,1,2
60,"Dual","0",2,2,4,6,2,2,9,2,4,2,6,1,2
68,"Dual","0",2,1,1,4,2,14,3,2,2,3,2,6,24
75,"Dual","0",2,2,1,2,2,2,3,1,1,1,2,2,2
84,"Dual","0",2,2,2,4,2,14,3,2,2,2,6,2,2
85,"Dual","M",2,2,2,1,2,2,2,1,2,2,2,1,2
86,"Dual","0",2,1,14,2,1,2,1,2,1,1,1,1,6
100,"Dual","0",2,2,1,4,2,2,2,1,2,2,6,1,1
102,"Dual","0",4,1,1,2,2,1,1,1,2,2,2,1,1
103,"Dual","F",2,2,2,2,2,9,11,2,2,2,2,2,2
104,"Dual","0",2,1,2,2,1,2,2,1,1,2,1,2,2
106,"Dual","M",2,2,2,2,1,2,2,2,2,1,1,1,1
108,"Dual","0",6,2,11,2,1,6,1,1,1,2,1,1,1
109,"Dual","0",2,2,2,2,2,2,2,2,1,2,2,2,2
110,"Dual","0",2,2,2,2,2,2,2,2,2,1,2,2,2
111,"Dual","F",2,1,1,2,2,2,2,2,2,2,2,2,2
112,"Dual","0",2,2,2,2,2,2,2,2,2,6,2,4,2
113,"Dual","0",2,2,1,2,2,6,2,1,2,2,2,2,2
115,"Dual","M",2,1,2,2,2,2,2,2,2,2,1,1,1
124,"Dual","0",2,1,1,2,2,2,2,1,1,2,2,1,2
128,"Dual","0",2,2,1,4,1,2,2,6,2,2,3,2,2
135,"Dual","0",2,1,1,2,2,2,2,1,1,2,2,1,11
150,"Dual","0",2,2,1,2,1,2,2,1,1,1,1,1,1
154,"Dual","F",2,2,2,2,2,4,2,23,5,53,4,2,13
156,"Dual","0",2,1,1,1,2,2,1,2,2,1,2,2,2
157,"Dual","F",1,2,1,2,2,1,1,1,1,1,1,1,1
165,"Dual","0",1,1,1,1,1,9,3,2,1,2,2,2,9
195,"Dual","0",2,1,1,6,2,4,9,2,11,1,16,2,3
200,"Dual","0",2,1,1,3,1,2,2,2,6,9,11,3,2
206,"Dual","0",1,1,1,1,2,9,2,1,2,1,2,1,2
219,"Dual","0",2,2,2,2,2,2,2,2,1,2,2,2,2
220,"Dual","F",1,1,2,6,1,6,2,2,3,5,8,2,2
224,"Dual","0",2,6,1,2,4,6,1,2,2,3,5,8,10
225,"Dual","0",1,1,1,1,1,2,1,2,2,2,2,6,2
242,"Dual","0",2,1,2,2,2,2,2,2,1,1,1,1,1
243,"Dual","F",1,1,1,2,1,2,2,2,2,2,2,1,6
246,"Left","0",2,1,1,2,1,1,2,6,2,2,2,1,2
